Channel 1,Channel 2,Channel 3
180,181,180
181,180,179
177,177,177
178,179,180
180,180,181
181,180,181
181,181,179
180,181,180
180,180,179
179,180,181
181,181,182
182,182,182
182,182,182
181,181,181
181,182,181
181,181,181
180,177,178
179,180,181
180,181,181
179,181,181
181,179,181
182,182,182
182,181,181
179,179,180
183,177,173
177,182,180
181,167,164
174,166,169
176,178,182
183,166,153
166,168,137
85,41,38
62,71,49
29,14,41
63,55,52
56,53,53
35,53,60
47,28,41
36,42,38
37,31,42
52,36,19
14,18,18
10,11,12
17,18,14
20,38,41
31,53,55
59,52,37
27,26,23
18,25,30
21,20,32
15,15,18
23,14,15
18,41,43
19,24,18
11,10,14
21,41,35
24,12,14
11,9,6
9,13,15
14,11,12
14,15,13
16,19,13
13,32,38
18,17,30
29,18,43
58,25,51
59,18,17
18,10,17
33,28,18
20,32,50
98,79,72
66,65,21
25,63,94
109,152,102
57,88,119
85,82,94
117,109,109
76,13,34
147,199,180
174,180,180
181,181,178
178,177,178
179,179,179
181,180,181
182,181,181
182,182,180
179,180,180
180,181,181
179,178,177
179,181,182
182,180,178
178,179,182
182,181,182
182,182,181
180,177,176
177,178,180
180,179,178
179,177,176
176,176,178
180,180,180
176,176,177
174,174,173
175,179,181
180,180,178
179,180,179
180,180,180
180,180,179
179,178,177
177,177,177
175,177,177
175,174,180
179,179,178
178,180,179
178,176,176
178,180,178
176,176,178
178,176,177
177,175,176
175,175,176
176,176,176
176,175,176
178,177,176
177,177,178
180,177,175
174,175,175
174,173,180
181,180,181
180,179,178
178,178,179
180,180,180
181,181,181
181,181,181
181,180,180
180,179,179
179,178,178
179,181,181
182,182,182
182,182,182
182,182,182
182,182,182
182,181,181
182,181,178
175,177,180
181,181,179
180,181,180
181,181,181
180,181,182
182,182,182
181,181,180
180,178,178
176,176,177
175,169,162
169,160,161
153,168,180
183,172,164
173,149,97
51,50,50
49,78,68
40,36,28
42,58,48
43,60,61
43,39,42
50,43,26
29,34,40
48,42,53
27,41,27
12,30,26
13,9,7
5,6,15
31,42,47
50,46,63
55,49,44
30,17,14
17,17,15
19,27,23
12,15,15
15,10,6
12,22,20
59,39,16
20,7,18
25,37,54
41,37,11
7,18,12
5,8,9
10,13,14
12,11,14
16,17,18
15,23,29
32,28,20
22,38,27
26,28,30
9,23,31
15,11,14
20,16,15
12,15,29
32,31,39
22,13,16
17,23,33
23,42,26
65,109,48
48,119,125
93,74,68
77,137,162
106,42,36
131,193,175
170,184,182
182,181,178
178,179,179
180,180,180
180,181,182
181,181,182
182,181,180
181,181,181
181,181,180
179,178,180
181,181,181
180,179,179
180,182,182
180,182,182
182,181,180
178,177,178
178,179,179
179,179,180
178,177,176
176,178,180
179,177,177
177,178,175
174,174,176
178,180,179
180,179,179
180,179,180
180,180,180
180,180,180
179,177,177
177,176,177
177,176,174
176,180,179
178,178,177
177,178,177
176,176,177
179,179,177
175,177,177
177,178,178
177,176,176
176,177,177
177,177,176
176,176,177
176,175,176
176,177,180
178,176,175
175,176,175
173,180,181
180,181,181
181,180,181
181,180,180
181,181,182
182,182,182
182,182,181
180,180,180
179,179,179
178,178,179
181,181,182
182,182,182
182,182,182
182,182,182
182,182,182
181,181,180
180,179,177
179,181,182
181,179,180
181,180,181
181,181,180
181,182,182
182,182,181
181,181,178
180,176,176
180,176,170
169,174,182
170,168,167
164,162,163
161,156,104
53,56,85
95,71,60
58,44,24
17,44,65
46,39,52
58,47,31
37,38,60
84,49,52
56,54,46
47,38,28
16,21,28
23,13,14
10,15,16
24,39,40
51,47,42
40,55,35
31,21,18
17,21,30
36,32,15
12,21,20
17,10,18
21,27,22
19,38,42
25,14,18
20,36,64
47,30,47
33,23,18
15,12,7
9,9,9
11,13,11
9,13,13
12,18,26
25,22,18
24,34,29
38,33,25
36,38,23
30,30,24
20,23,33
20,14,9
7,20,25
16,9,8
9,5,7
17,27,14
43,72,72
60,63,47
21,53,108
141,105,106
89,122,135
143,58,27
131,199,177
175,178,179
181,180,181
180,180,180
180,180,180
181,182,181
181,182,182
181,180,181
181,181,181
181,180,180
180,179,178
177,178,179
180,180,181
182,182,181
182,182,182
181,180,179
178,179,179
179,178,179
179,179,178
178,177,177
179,179,177
175,177,178
179,177,173
174,175,177
177,178,180
180,180,180
179,180,180
180,180,180
180,179,179
179,180,180
179,180,180
178,177,178
179,179,178
177,176,175
177,177,177
177,178,178
178,177,176
176,175,175
177,179,179
179,179,178
177,178,178
177,177,176
176,176,176
176,177,177
178,180,178
176,176,176
176,175,173
180,180,180
180,181,181
180,181,182
180,181,182
182,182,183
183,183,182
182,181,179
180,181,181
180,180,179
179,180,180
181,181,182
182,182,182
182,182,182
182,182,182
182,182,181
181,182,181
180,178,181
182,181,180
180,181,181
180,181,181
181,180,181
182,181,181
182,181,181
180,180,180
177,177,179
174,170,178
184,179,171
171,195,190
159,137,94
51,46,79
111,93,48
36,41,22
26,27,33
61,50,34
43,83,39
33,53,61
59,95,70
34,40,37
19,10,11
14,24,10
21,27,17
17,13,11
20,28,56
73,42,31
25,34,39
36,26,21
18,23,21
28,43,55
64,46,24
21,25,37
43,50,40
32,12,29
66,50,30
40,29,27
72,59,22
18,34,25
49,36,16
12,8,11
9,8,7
8,7,5
8,15,20
20,19,22
26,14,34
34,24,48
37,22,33
21,11,16
21,17,20
20,23,15
17,9,4
17,21,16
29,34,30
32,23,17
6,13,12
36,58,45
70,114,72
17,17,44
102,109,81
100,107,148
154,49,30
137,196,176
177,178,177
180,181,181
180,180,180
179,180,180
182,180,180
181,181,180
180,181,180
180,180,180
180,181,181
180,178,177
178,179,180
181,182,181
181,182,181
181,181,181
180,179,179
180,180,178
177,178,179
178,178,179
180,179,179
177,176,175
177,179,180
178,173,175
176,177,176
177,180,181
180,180,179
180,179,180
180,179,179
179,179,179
179,179,178
179,180,179
177,178,179
178,177,177
176,174,177
178,179,179
179,178,177
177,179,177
173,172,172
175,178,178
179,179,178
179,179,178
177,176,175
176,177,177
178,178,179
180,178,176
176,176,176
175,172,181
180,179,180
180,180,180
180,181,181
181,181,181
182,182,182
182,182,182
180,180,179
180,180,181
181,180,180
181,180,180
180,182,182
182,182,182
182,182,182
182,182,182
182,181,182
182,182,181
180,182,182
181,181,181
182,181,181
181,181,181
180,181,181
181,181,181
181,181,176
184,176,177
181,179,172
170,178,176
176,175,163
143,105,58
47,33,27
46,51,41
25,22,34
35,11,18
36,45,52
37,46,78
52,31,53
79,72,79
58,37,32
26,11,18
12,13,12
18,20,27
17,13,25
37,34,27
43,58,77
58,45,36
41,44,29
32,44,48
54,51,50
44,41,57
70,61,47
37,43,48
31,23,16
45,93,69
40,30,29
36,62,53
29,30,27
24,41,31
19,14,12
10,16,9
7,9,11
11,13,12
14,23,19
22,16,24
29,34,24
24,56,27
16,29,23
24,17,16
16,20,17
15,11,11
12,14,15
13,12,22
18,30,37
55,57,24
23,11,10
6,14,7
27,80,62
46,61,33
43,64,100
124,98,159
145,27,41
162,189,182
180,178,176
180,180,180
180,181,180
180,180,181
180,180,181
180,180,180
181,180,180
179,179,180
181,181,179
179,179,180
180,180,181
181,181,181
181,181,181
180,181,180
180,180,180
179,178,177
176,176,177
178,178,178
178,180,178
176,179,178
177,178,176
176,177,179
178,177,178
180,181,180
180,179,179
179,179,180
179,178,179
179,179,179
178,177,178
179,179,178
